index,borough,latitude,longitude,year,week,day,hour,1_engine_presence
403,1,"40,7275","-73,99286",2023,37,1,11,1
405,1,"40,7275","-73,99286",2023,29,2,11,1
410,1,"40,7275","-73,99286",2023,29,2,11,1
414,1,"40,7275","-73,99286",2023,47,5,13,1
418,1,"40,7275","-73,99286",2023,47,5,13,1
420,1,"40,7275","-73,99286",2023,47,5,13,1
425,1,"40,7275","-73,99286",2023,28,4,10,1
426,1,"40,7275","-73,99286",2023,28,4,10,1
430,1,"40,7275","-73,99286",2023,28,4,10,1
433,1,"40,7275","-73,99286",2023,28,4,10,1
454,1,"40,72898","-73,99629",2023,35,1,13,1
479,1,"40,72898","-73,99629",2023,19,0,9,1
484,1,"40,72898","-73,99629",2023,19,0,9,1
486,1,"40,72898","-73,99629",2023,19,0,9,1
494,1,"40,72898","-73,99629",2023,24,2,18,1
497,1,"40,72898","-73,99629",2023,24,2,18,1
506,1,"40,72898","-73,99629",2023,24,2,18,1
507,1,"40,72898","-73,99629",2023,24,2,18,1
508,1,"40,72898","-73,99629",2023,24,2,18,1
509,1,"40,72898","-73,99629",2023,24,2,18,1
520,1,"40,72898","-73,99629",2023,50,3,18,1
524,1,"40,72898","-73,99629",2023,50,3,18,1
525,1,"40,72898","-73,99629",2023,50,3,18,1
527,1,"40,72898","-73,99629",2023,50,3,18,1
529,1,"40,72898","-73,99629",2023,52,1,14,1
533,1,"40,72898","-73,99629",2023,52,1,14,1
535,1,"40,72898","-73,99629",2023,52,1,14,1
537,1,"40,72898","-73,99629",2023,30,0,17,1
540,1,"40,72898","-73,99629",2023,30,0,17,1
543,1,"40,72898","-73,99629",2023,30,0,17,1
549,1,"40,72898","-73,99629",2023,34,1,14,1
551,1,"40,72898","-73,99629",2023,34,1,14,1
554,1,"40,72898","-73,99629",2023,48,4,13,1
560,1,"40,72898","-73,99629",2023,50,3,12,1
566,1,"40,72898","-73,99629",2023,50,3,12,1
567,1,"40,72898","-73,99629",2023,50,3,12,1
580,1,"40,72898","-73,99629",2023,32,4,8,1
581,1,"40,72898","-73,99629",2023,32,4,8,1
582,1,"40,72898","-73,99629",2023,32,4,8,1
583,1,"40,72898","-73,99629",2023,32,4,8,1
584,1,"40,72898","-73,99629",2023,32,4,8,1
585,1,"40,72898","-73,99629",2023,32,4,8,1
586,1,"40,72898","-73,99629",2023,33,2,8,1
590,1,"40,72898","-73,99629",2023,33,2,8,1
591,1,"40,72898","-73,99629",2023,33,2,8,1
595,1,"40,72898","-73,99629",2023,16,1,20,1
596,1,"40,72898","-73,99629",2023,16,1,20,1
598,1,"40,72898","-73,99629",2023,16,1,20,1
599,1,"40,72898","-73,99629",2023,16,1,20,1
603,1,"40,72898","-73,99629",2023,24,3,11,1
604,1,"40,72898","-73,99629",2023,24,3,11,1
606,1,"40,72898","-73,99629",2023,24,3,11,1
607,1,"40,72898","-73,99629",2023,24,3,11,1
608,1,"40,72898","-73,99629",2023,24,3,11,1
609,1,"40,72898","-73,99629",2023,24,3,11,1
628,1,"40,72898","-73,99629",2023,48,4,14,1
630,1,"40,72898","-73,99629",2023,48,4,14,1
632,1,"40,72898","-73,99629",2023,48,4,14,1
637,1,"40,72898","-73,99629",2023,32,1,9,1
638,1,"40,72898","-73,99629",2023,32,1,9,1
642,1,"40,72898","-73,99629",2023,32,1,9,1
643,1,"40,72898","-73,99629",2023,32,1,9,1
646,1,"40,72898","-73,99629",2023,52,1,9,1
651,1,"40,72898","-73,99629",2023,52,1,9,1
653,1,"40,72898","-73,99629",2023,17,2,15,1
654,1,"40,72898","-73,99629",2023,17,2,15,1
656,1,"40,72898","-73,99629",2023,17,2,15,1
657,1,"40,72898","-73,99629",2023,17,2,15,1
674,1,"40,72898","-73,99629",2023,49,5,15,1
696,3,"40,69398","-73,98697",2023,34,6,8,1
697,3,"40,69398","-73,98697",2023,34,6,8,1
700,3,"40,69398","-73,98697",2023,34,6,8,1
701,3,"40,69398","-73,98697",2023,34,6,8,1
706,3,"40,69398","-73,98697",2023,34,1,17,1
711,3,"40,69398","-73,98697",2023,34,1,17,1
736,3,"40,69398","-73,98697",2023,41,1,15,1
748,3,"40,69398","-73,98697",2023,29,1,12,1
772,3,"40,69398","-73,98697",2023,34,1,11,1
773,3,"40,69398","-73,98697",2023,34,1,11,1
776,3,"40,69398","-73,98697",2023,34,1,11,1
779,3,"40,69398","-73,98697",2023,34,1,11,1
781,3,"40,69398","-73,98697",2023,52,2,12,1
782,3,"40,69398","-73,98697",2023,52,2,12,1
784,3,"40,69398","-73,98697",2023,52,2,12,1
785,3,"40,69398","-73,98697",2023,52,2,12,1
789,3,"40,69398","-73,98697",2023,31,6,20,1
790,3,"40,69398","-73,98697",2023,31,6,20,1
792,3,"40,69398","-73,98697",2023,31,6,20,1
794,3,"40,69398","-73,98697",2023,31,6,20,1
810,3,"40,69398","-73,98697",2023,35,1,12,1
816,3,"40,69398","-73,98697",2023,35,1,12,1
830,3,"40,69398","-73,98697",2023,29,1,18,1
838,3,"40,69398","-73,98697",2023,29,1,18,1
839,3,"40,69398","-73,98697",2023,29,1,18,1
849,3,"40,69398","-73,98697",2023,41,1,8,1
850,3,"40,69398","-73,98697",2023,41,1,8,1
854,3,"40,69398","-73,98697",2023,41,1,8,1
856,3,"40,69398","-73,98697",2023,41,1,8,1
876,1,"40,73642","-73,99150999999999",2023,21,0,19,1
881,1,"40,73642","-73,99150999999999",2023,38,5,13,1
882,1,"40,73642","-73,99150999999999",2023,38,5,13,1
884,1,"40,73642","-73,99150999999999",2023,38,5,13,1
885,1,"40,73642","-73,99150999999999",2023,38,5,13,1
886,1,"40,73642","-73,99150999999999",2023,38,5,13,1
891,1,"40,73642","-73,99150999999999",2023,44,1,16,1
896,1,"40,73642","-73,99150999999999",2023,44,1,16,1
900,1,"40,73642","-73,99150999999999",2023,25,5,16,1
927,1,"40,73642","-73,99150999999999",2023,44,1,12,1
930,1,"40,73642","-73,99150999999999",2023,44,1,12,1
931,1,"40,73642","-73,99150999999999",2023,44,1,12,1
932,1,"40,73642","-73,99150999999999",2023,44,1,12,1
935,1,"40,73642","-73,99150999999999",2023,37,5,14,1
941,1,"40,73642","-73,99150999999999",2023,37,5,14,1
942,1,"40,72951","-73,99425",2023,37,2,10,1
946,1,"40,72951","-73,99425",2023,37,2,10,1
956,1,"40,72951","-73,99425",2023,44,4,13,1
961,1,"40,72951","-73,99425",2023,44,4,13,1
962,1,"40,72951","-73,99425",2023,32,6,12,1
965,1,"40,72951","-73,99425",2023,32,6,12,1
966,1,"40,72951","-73,99425",2023,32,6,12,1
985,1,"40,72951","-73,99425",2023,30,5,15,1
992,1,"40,72951","-73,99425",2023,30,5,15,1
1004,1,"40,72951","-73,99425",2023,23,3,14,1
1005,1,"40,72951","-73,99425",2023,23,3,14,1
1008,1,"40,72951","-73,99425",2023,23,3,14,1
1009,1,"40,72951","-73,99425",2023,23,3,14,1
1011,1,"40,72951","-73,99425",2023,23,3,14,1
1013,1,"40,72951","-73,99425",2023,51,2,14,1
1018,1,"40,72951","-73,99425",2023,51,2,14,1
1019,1,"40,72951","-73,99425",2023,51,2,14,1
1022,1,"40,72951","-73,99425",2023,23,0,15,1
1029,1,"40,72951","-73,99425",2023,23,0,15,1
1031,1,"40,72951","-73,99425",2023,38,3,11,1
1034,1,"40,72951","-73,99425",2023,38,3,11,1
1035,1,"40,72951","-73,99425",2023,38,3,11,1
1037,1,"40,72951","-73,99425",2023,38,3,11,1
1044,1,"40,72951","-73,99425",2023,39,2,12,1
1048,1,"40,72951","-73,99425",2023,39,2,12,1
1049,1,"40,72951","-73,99425",2023,39,2,12,1
1051,1,"40,72951","-73,99425",2023,39,2,12,1
1052,1,"40,72951","-73,99425",2023,24,6,15,1
1055,1,"40,72951","-73,99425",2023,24,6,15,1
1058,1,"40,72951","-73,99425",2023,27,5,20,1
1060,1,"40,72951","-73,99425",2023,27,5,20,1
1061,1,"40,72951","-73,99425",2023,27,5,20,1
1063,1,"40,72951","-73,99425",2023,27,5,20,1
1074,1,"40,73059","-73,99479000000001",2023,51,3,14,1
1075,1,"40,73059","-73,99479000000001",2023,51,3,14,1
1078,1,"40,73059","-73,99479000000001",2023,51,3,14,1
1079,1,"40,73059","-73,99479000000001",2023,51,3,14,1
1081,1,"40,73059","-73,99479000000001",2023,51,3,14,1
1085,1,"40,73059","-73,99479000000001",2023,46,0,8,1
1093,1,"40,73059","-73,99479000000001",2023,46,0,8,1
1113,1,"40,73059","-73,99479000000001",2023,45,2,17,1
1116,1,"40,73059","-73,99479000000001",2023,45,2,17,1
1117,1,"40,73059","-73,99479000000001",2023,45,2,17,1
1127,1,"40,73059","-73,99479000000001",2023,46,2,13,1
1128,1,"40,73059","-73,99479000000001",2023,46,2,13,1
1130,1,"40,73059","-73,99479000000001",2023,46,2,13,1
1131,1,"40,73059","-73,99479000000001",2023,46,2,13,1
1132,1,"40,73059","-73,99479000000001",2023,46,2,13,1
1135,1,"40,73059","-73,99479000000001",2023,49,4,18,1
1136,1,"40,73059","-73,99479000000001",2023,49,4,18,1
1138,1,"40,73059","-73,99479000000001",2023,49,4,18,1
1141,1,"40,73059","-73,99479000000001",2023,49,4,18,1
1150,1,"40,73059","-73,99479000000001",2023,18,3,9,1
1151,1,"40,73059","-73,99479000000001",2023,18,3,9,1
1154,1,"40,73059","-73,99479000000001",2023,18,3,9,1
1157,1,"40,73059","-73,99479000000001",2023,18,3,9,1
1163,1,"40,73059","-73,99479000000001",2023,24,6,13,1
1169,1,"40,73059","-73,99479000000001",2023,24,6,13,1
1189,1,"40,73059","-73,99479000000001",2023,35,6,18,1
1190,1,"40,73059","-73,99479000000001",2023,35,6,18,1
1192,1,"40,73059","-73,99479000000001",2023,35,6,18,1
1193,1,"40,73059","-73,99479000000001",2023,35,6,18,1
1194,1,"40,73059","-73,99479000000001",2023,35,6,18,1
1195,1,"40,73059","-73,99479000000001",2023,35,6,18,1
1215,1,"40,73059","-73,99479000000001",2023,18,3,10,1
1223,1,"40,73059","-73,99479000000001",2023,18,3,10,1
1225,1,"40,73059","-73,99479000000001",2023,44,4,19,1
1232,1,"40,73059","-73,99479000000001",2023,44,4,19,1
1235,1,"40,73059","-73,99479000000001",2023,51,3,10,1
1236,1,"40,73059","-73,99479000000001",2023,51,3,10,1
1238,1,"40,73059","-73,99479000000001",2023,51,3,10,1
1239,1,"40,73059","-73,99479000000001",2023,51,3,10,1
1240,1,"40,73059","-73,99479000000001",2023,51,3,10,1
1246,1,"40,73059","-73,99479000000001",2023,39,2,10,1
1252,1,"40,73059","-73,99479000000001",2023,39,2,10,1
1254,1,"40,73059","-73,99479000000001",2023,39,2,10,1
1264,1,"40,73059","-73,99479000000001",2023,47,4,14,1
1277,1,"40,72105","-73,99728",2023,19,2,20,1
1278,1,"40,72105","-73,99728",2023,19,2,20,1
1280,1,"40,72105","-73,99728",2023,19,2,20,1
1281,1,"40,72105","-73,99728",2023,19,2,20,1
1282,1,"40,72105","-73,99728",2023,19,2,20,1
1285,1,"40,72105","-73,99728",2023,29,4,16,1
1286,1,"40,72105","-73,99728",2023,29,4,16,1
1288,1,"40,72105","-73,99728",2023,29,4,16,1
1289,1,"40,72105","-73,99728",2023,29,4,16,1
1290,1,"40,72105","-73,99728",2023,29,4,16,1
1291,1,"40,72105","-73,99728",2023,29,4,16,1
1295,1,"40,72105","-73,99728",2023,26,1,8,1
1296,1,"40,72105","-73,99728",2023,26,1,8,1
1300,1,"40,72105","-73,99728",2023,26,1,8,1
1301,1,"40,72105","-73,99728",2023,26,1,8,1
1302,1,"40,72105","-73,99728",2023,26,1,8,1
1304,1,"40,72105","-73,99728",2023,33,2,9,1
1306,1,"40,72105","-73,99728",2023,33,2,9,1
1307,1,"40,72105","-73,99728",2023,33,2,9,1
1312,1,"40,72105","-73,99728",2023,40,3,16,1
1313,1,"40,72105","-73,99728",2023,40,3,16,1
1316,1,"40,72105","-73,99728",2023,40,3,16,1
1319,1,"40,72105","-73,99728",2023,40,3,16,1
1332,1,"40,73328","-73,99446999999999",2023,20,5,9,1
1337,1,"40,73328","-73,99446999999999",2023,52,6,19,1
1340,1,"40,73328","-73,99446999999999",2023,52,6,19,1
1342,1,"40,73328","-73,99446999999999",2023,52,6,19,1
1347,1,"40,73328","-73,99446999999999",2023,19,1,18,1
1348,1,"40,73328","-73,99446999999999",2023,19,1,18,1
1352,1,"40,73328","-73,99446999999999",2023,19,1,18,1
1354,1,"40,73328","-73,99446999999999",2023,19,1,18,1
1365,1,"40,73328","-73,99446999999999",2023,31,4,16,1
1368,1,"40,73328","-73,99446999999999",2023,40,3,9,1
1373,1,"40,73328","-73,99446999999999",2023,29,2,16,1
1374,1,"40,73328","-73,99446999999999",2023,29,2,16,1
1376,1,"40,73328","-73,99446999999999",2023,29,2,16,1
1378,1,"40,73328","-73,99446999999999",2023,29,2,16,1
1380,1,"40,73328","-73,99446999999999",2023,26,2,14,1
1381,1,"40,73328","-73,99446999999999",2023,26,2,14,1
1382,1,"40,73328","-73,99446999999999",2023,26,2,14,1
1383,1,"40,73328","-73,99446999999999",2023,26,2,14,1
1388,1,"40,73328","-73,99446999999999",2023,44,5,19,1
1389,1,"40,73328","-73,99446999999999",2023,44,5,19,1
1392,1,"40,73328","-73,99446999999999",2023,44,5,19,1
1393,1,"40,73328","-73,99446999999999",2023,44,5,19,1
1394,1,"40,73328","-73,99446999999999",2023,44,5,19,1
1406,1,"40,73328","-73,99446999999999",2023,36,5,10,1
1425,1,"40,73328","-73,99446999999999",2023,29,2,10,1
1430,1,"40,73328","-73,99446999999999",2023,29,2,10,1
1432,1,"40,73328","-73,99446999999999",2023,29,2,10,1
1434,1,"40,73328","-73,99446999999999",2023,29,4,15,1
1435,1,"40,73328","-73,99446999999999",2023,29,4,15,1
1436,1,"40,73328","-73,99446999999999",2023,29,4,15,1
1437,1,"40,73328","-73,99446999999999",2023,29,4,15,1
1438,1,"40,73328","-73,99446999999999",2023,29,4,15,1
1439,1,"40,73328","-73,99446999999999",2023,29,4,15,1
1446,1,"40,73328","-73,99446999999999",2023,40,6,12,1
1451,1,"40,73328","-73,99446999999999",2023,19,0,11,1
1452,1,"40,73328","-73,99446999999999",2023,19,0,11,1
1454,1,"40,73328","-73,99446999999999",2023,19,0,11,1
1457,1,"40,73328","-73,99446999999999",2023,28,3,18,1
1458,1,"40,73328","-73,99446999999999",2023,28,3,18,1
1460,1,"40,73328","-73,99446999999999",2023,28,3,18,1
1461,1,"40,73328","-73,99446999999999",2023,28,3,18,1
1462,1,"40,73328","-73,99446999999999",2023,28,3,18,1
1472,1,"40,72609","-73,99682",2023,52,5,20,1
1476,1,"40,72609","-73,99682",2023,52,5,20,1
1477,1,"40,72609","-73,99682",2023,52,5,20,1
1480,1,"40,72609","-73,99682",2023,20,4,8,1
1481,1,"40,72609","-73,99682",2023,20,4,8,1
1482,1,"40,72609","-73,99682",2023,20,4,8,1
1484,1,"40,72609","-73,99682",2023,20,4,8,1
1488,1,"40,72609","-73,99682",2023,41,6,10,1
1489,1,"40,72609","-73,99682",2023,41,6,10,1
1492,1,"40,72609","-73,99682",2023,41,6,10,1
1493,1,"40,72609","-73,99682",2023,41,6,10,1
1504,1,"40,72609","-73,99682",2023,16,5,18,1
1505,1,"40,72609","-73,99682",2023,16,5,18,1
1508,1,"40,72609","-73,99682",2023,16,5,18,1
1509,1,"40,72609","-73,99682",2023,16,5,18,1
1511,1,"40,72609","-73,99682",2023,16,5,18,1
1512,1,"40,72609","-73,99682",2023,30,1,11,1
1513,1,"40,72609","-73,99682",2023,30,1,11,1
1514,1,"40,72609","-73,99682",2023,30,1,11,1
1516,1,"40,72609","-73,99682",2023,30,1,11,1
1517,1,"40,72609","-73,99682",2023,30,1,11,1
1520,1,"40,72609","-73,99682",2023,26,3,13,1
1524,1,"40,72609","-73,99682",2023,26,3,13,1
1525,1,"40,72609","-73,99682",2023,26,3,13,1
1526,1,"40,72609","-73,99682",2023,26,3,13,1
1529,1,"40,72609","-73,99682",2023,30,2,17,1
1530,1,"40,72609","-73,99682",2023,30,2,17,1
1532,1,"40,72609","-73,99682",2023,30,2,17,1
1533,1,"40,72609","-73,99682",2023,30,2,17,1
1534,1,"40,72609","-73,99682",2023,30,2,17,1
1535,1,"40,72609","-73,99682",2023,30,2,17,1
1536,1,"40,72609","-73,99682",2023,38,5,16,1
1537,1,"40,72609","-73,99682",2023,38,5,16,1
1538,1,"40,72609","-73,99682",2023,38,5,16,1
1539,1,"40,72609","-73,99682",2023,38,5,16,1
1540,1,"40,72609","-73,99682",2023,38,5,16,1
1551,1,"40,72609","-73,99682",2023,29,4,17,1
1552,1,"40,72609","-73,99682",2023,29,4,17,1
1554,1,"40,72609","-73,99682",2023,29,4,17,1
1555,1,"40,72609","-73,99682",2023,29,4,17,1
1556,1,"40,72609","-73,99682",2023,29,4,17,1
1557,1,"40,72609","-73,99682",2023,29,4,17,1
1575,1,"40,72977","-73,98812",2023,37,2,17,1
1592,1,"40,72977","-73,98812",2023,29,3,20,1
1593,1,"40,72977","-73,98812",2023,29,3,20,1
1596,1,"40,72977","-73,98812",2023,23,3,12,1
1604,1,"40,72977","-73,98812",2023,21,4,17,1
1612,1,"40,72977","-73,98812",2023,43,6,20,1
1619,1,"40,72977","-73,98812",2023,24,6,12,1
1624,1,"40,72977","-73,98812",2023,24,6,12,1
1627,1,"40,72977","-73,98812",2023,24,6,12,1
1634,3,"40,69413","-73,98568",2023,27,0,10,1
1647,3,"40,69413","-73,98568",2023,34,3,15,1
1706,3,"40,69413","-73,98568",2023,49,3,14,1
1710,3,"40,69413","-73,98568",2023,49,3,14,1
1727,3,"40,69413","-73,98568",2023,43,5,8,1
1728,3,"40,69413","-73,98568",2023,43,5,8,1
1730,3,"40,69413","-73,98568",2023,43,5,8,1
1731,3,"40,69413","-73,98568",2023,43,5,8,1
1732,3,"40,69413","-73,98568",2023,43,5,8,1
1751,1,"40,73501","-73,99479000000001",2023,35,2,15,1
1752,1,"40,73501","-73,99479000000001",2023,35,2,15,1
1754,1,"40,73501","-73,99479000000001",2023,35,2,15,1
1755,1,"40,73501","-73,99479000000001",2023,35,2,15,1
1756,1,"40,73501","-73,99479000000001",2023,35,2,15,1
1757,1,"40,73501","-73,99479000000001",2023,35,2,15,1
1762,1,"40,73501","-73,99479000000001",2023,34,3,13,1
1770,1,"40,73501","-73,99479000000001",2023,23,3,14,1
1792,1,"40,73501","-73,99479000000001",2023,23,6,12,1
1800,1,"40,73501","-73,99479000000001",2023,43,4,11,1
1805,1,"40,73501","-73,99479000000001",2023,21,4,13,1
1806,1,"40,73501","-73,99479000000001",2023,21,4,13,1
1808,1,"40,73501","-73,99479000000001",2023,21,4,13,1
1809,1,"40,73501","-73,99479000000001",2023,21,4,13,1
1811,1,"40,73501","-73,99479000000001",2023,21,4,13,1
1813,1,"40,73501","-73,99479000000001",2023,28,4,10,1
1816,1,"40,73501","-73,99479000000001",2023,28,4,10,1
1818,1,"40,73501","-73,99479000000001",2023,28,4,10,1
1819,1,"40,73501","-73,99479000000001",2023,28,4,10,1
1820,1,"40,73501","-73,99479000000001",2023,43,5,8,1
1822,1,"40,73501","-73,99479000000001",2023,43,5,8,1
1824,1,"40,73501","-73,99479000000001",2023,43,5,8,1
1825,1,"40,73501","-73,99479000000001",2023,43,5,8,1
1830,1,"40,73501","-73,99479000000001",2023,37,3,19,1
1831,1,"40,73501","-73,99479000000001",2023,37,3,19,1
1834,1,"40,73501","-73,99479000000001",2023,37,3,19,1
1835,1,"40,73501","-73,99479000000001",2023,37,3,19,1
1846,1,"40,73501","-73,99479000000001",2023,35,2,16,1
1847,1,"40,73501","-73,99479000000001",2023,35,2,16,1
1848,1,"40,73501","-73,99479000000001",2023,35,2,16,1
1850,1,"40,73501","-73,99479000000001",2023,35,2,16,1
1853,1,"40,73501","-73,99479000000001",2023,40,2,20,1
1856,1,"40,73501","-73,99479000000001",2023,40,2,20,1
1857,1,"40,73501","-73,99479000000001",2023,40,2,20,1
1861,1,"40,73501","-73,99479000000001",2023,43,3,9,1
1862,1,"40,73501","-73,99479000000001",2023,43,3,9,1
1864,1,"40,73501","-73,99479000000001",2023,43,3,9,1
1865,1,"40,73501","-73,99479000000001",2023,43,3,9,1
1866,1,"40,73501","-73,99479000000001",2023,43,3,9,1
1867,1,"40,73501","-73,99479000000001",2023,43,3,9,1
1868,1,"40,73501","-73,99479000000001",2023,31,0,15,1
1869,1,"40,73501","-73,99479000000001",2023,31,0,15,1
1870,1,"40,73501","-73,99479000000001",2023,31,0,15,1
1871,1,"40,73501","-73,99479000000001",2023,31,0,15,1
